OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
54379,9,1,77,117,2019,2,20,5,3,0,2,2,1,1,0,0,0,0,716332.678293,5354862.87048,11.917738581,48.309923438,1,1,#66c2a5,bicycle
54380,9,1,62,0,2019,2,8,4,3,4,7,0,0,1,0,0,0,0,689462.69143,5340644.69032,11.549371972,48.190752532,0,2,#fc8d62,car
54381,9,1,84,122,2019,2,8,4,3,2,6,0,0,1,0,0,0,0,689082.464717,5323541.86542,11.536678433,48.037143019,0,2,#fc8d62,car
54382,9,1,84,137,2019,2,6,4,3,2,2,1,0,1,0,0,0,0,706313256,5316868372,11.764365783,47.971836626,0,2,#fc8d62,car
54384,9,7,78,203,2019,2,8,4,3,3,6,0,0,1,0,0,1,1,621248.876051,5322138.87625,10.626730689,48.04101385,0,2,#fc8d62,car
54387,9,1,87,177,2019,2,7,2,3,5,2,0,1,1,0,0,0,0,735040115,5305110141,12.142301191,47.856301716,0,1,#66c2a5,bicycle
54389,9,1,87,177,2019,2,14,2,3,5,2,0,1,1,0,0,0,0,735374.464961,5305308.33905,12.14687207,47.857959937,0,1,#66c2a5,bicycle
54395,9,1,88,121,2019,2,5,2,3,3,6,2,0,1,0,0,0,0,674127.144856,5330493.65166,11.339054219,48.103890121,0,2,#fc8d62,car
54397,9,1,81,121,2019,2,13,2,3,5,3,0,0,1,0,0,0,0,636576.99108,5312019.4536,10.829057192,47.946918862,0,2,#fc8d62,car
54398,9,1,81,141,2019,2,9,2,3,2,6,0,0,1,0,0,0,0,643946.178472,5319889.60789,10.930327417,48.016074491,0,2,#fc8d62,car
54400,9,1,88,121,2019,2,17,2,3,5,3,0,1,1,0,0,0,0,671807.237665,5330453.77352,11.307901183,48.104161499,0,1,#66c2a5,bicycle
54402,9,1,74,131,2019,2,16,2,3,8,1,0,0,0,0,1,0,0,676762286,5360305205,11.386860372,48.371141654,0,4,#e78ac3,marker
54403,9,1,74,121,2019,2,18,2,2,4,6,2,0,1,0,0,0,0,690669.587887,5355608.57022,11.572337349,48.324882676,0,2,#fc8d62,car
