OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,ULICHTVERH,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
170853,"9,17E+18",9,7,61,0,2017,3,7,6,3,5,3,0,1,0,0,1,0,0,639657.7029,5357470.5887,10.885207485,48.354956291,2,#fc8d62,car
170854,"9,17E+18",9,7,61,0,2017,3,10,6,2,6,4,0,1,1,0,0,0,0,640256.5595,5358574.4428,10.893654702,48.364749088,2,#fc8d62,car
170876,"9,17E+18",9,2,61,0,2017,3,10,6,3,0,3,1,1,0,0,0,0,0,732067615.0,5381267776.0,12.144252369,48.541543362,1,#66c2a5,bicycle
170880,"9,17E+18",9,1,87,117,2017,3,18,6,3,0,7,0,1,0,0,0,0,0,724354.7814,5306148.5508,12.000192783,47.86945094,2,#fc8d62,car
170882,"9,17E+18",9,1,79,142,2017,3,7,6,2,8,1,0,1,0,1,0,0,0,678083565.0,5341827712.0,11.396896461,48.204679243,2,#fc8d62,car
170883,"9,17E+18",9,1,62,0,2017,3,15,5,3,6,7,1,0,1,0,0,0,0,691401437.0,5332054.4541,11.571569089,48.112963418,1,#66c2a5,bicycle
170884,"9,17E+18",9,1,62,0,2017,3,14,5,3,4,7,1,1,0,0,0,0,0,691181255.0,5334170.0835,11.569562728,48.132044698,1,#66c2a5,bicycle
170885,"9,17E+18",9,1,62,0,2017,3,15,5,3,1,3,1,1,0,0,1,0,0,691741.6286,5336599.6575,11.578180513,48.153712771,1,#66c2a5,bicycle
170886,"9,17E+18",9,1,62,0,2017,3,18,5,3,5,3,1,1,0,0,0,2,0,692178.3172,5335574.8575,11.583583434,48.144370277,1,#66c2a5,bicycle
170887,"9,17E+18",9,1,84,149,2017,3,11,5,3,5,3,0,1,0,0,0,0,0,690434652.0,5350187.0087,11.566725551,48.276226292,2,#fc8d62,car
170888,"9,17E+18",9,1,84,131,2017,3,13,5,3,6,3,0,1,1,0,0,0,0,705120.5024,5337850.5546,11.758468224,48.16078017,2,#fc8d62,car
170889,"9,17E+18",9,1,62,0,2017,3,16,5,3,3,6,0,1,0,1,0,0,0,687873.5525,5330401.3722,11.52349052,48.099155504,2,#fc8d62,car
170890,"9,17E+18",9,1,62,0,2017,3,8,5,3,4,2,1,1,0,0,0,0,1,696367.7377,5335930.5214,11.640007334,48.146287522,1,#66c2a5,bicycle
170891,"9,17E+18",9,1,62,0,2017,3,16,5,3,5,2,1,1,0,0,0,0,0,683233.0137,5335091.4215,11.463235714,48.142664212,1,#66c2a5,bicycle
